                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3144,                0.62261,                0.86598,                0.96947,                0.91709,                0.95941,                0.51014,                 1.5803,                0.67366,                 0.8926,               0.000406,               0.000406,               0.000406
                     62,                 1.3236,                0.63449,                0.85635,                0.96665,                0.92933,                0.95915,                0.50486,                 1.6009,                0.68108,                0.89262,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2906,                0.61217,                0.85183,                0.93884,                0.90877,                0.94821,                0.49848,                 1.5923,                0.71234,                0.89047,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.2954,                0.61791,                0.85381,                0.95289,                0.90254,                0.95096,                0.49523,                 1.6009,                0.68172,                0.89349,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.2702,                0.60503,                0.85337,                0.94729,                0.93018,                0.95599,                0.49709,                 1.5975,                0.66803,                0.89275,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2896,                0.61327,                0.85848,                0.95561,                0.93499,                0.96018,                0.49632,                 1.6137,                0.67919,                  0.895,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.2617,                0.60181,                0.85266,                0.95731,                0.90422,                0.94965,                0.48561,                 1.6604,                0.69542,                0.89752,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2308,                 0.5848,                 0.8461,                0.95994,                 0.9017,                0.94504,                0.48343,                 1.6671,                0.69109,                 0.8995,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2575,                0.59483,                0.85263,                0.95698,                0.93152,                0.95498,                0.49756,                 1.5998,                0.67355,                0.89035,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.2369,                0.58511,                0.84453,                 0.9628,                0.92399,                0.95464,                0.49223,                 1.6257,                0.67227,                0.89022,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.2468,                0.58974,                0.84772,                0.96529,                0.91044,                0.95529,                 0.4901,                 1.6449,                0.66514,                0.89634,               0.000307,               0.000307,               0.000307
                     72,                  1.231,                0.58882,                0.83933,                0.96202,                0.93082,                0.95823,                0.50376,                 1.6105,                0.65478,                0.89104,              0.0002971,              0.0002971,              0.0002971
                     73,                  1.219,                0.58197,                0.83548,                0.96642,                0.91963,                0.95252,                0.49199,                 1.6176,                0.65329,                0.89339,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.2313,                0.57724,                0.84256,                0.94722,                0.93024,                0.95004,                0.49649,                  1.608,                0.66122,                0.89373,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.2023,                0.56618,                0.84197,                0.93912,                0.92428,                0.95149,                0.50474,                 1.5943,                0.67059,                0.89442,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.2123,                0.57731,                0.84467,                0.96066,                0.91842,                0.95922,                0.50542,                 1.6002,                0.65689,                0.89154,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1984,                0.56842,                0.83856,                0.96318,                0.91523,                0.95879,                0.51079,                 1.5904,                 0.6562,                0.89208,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.1801,                0.55553,                0.84459,                0.96002,                0.92598,                0.95716,                0.49446,                 1.6195,                0.65643,                0.89143,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.1678,                0.56047,                0.83369,                 0.9617,                0.93351,                 0.9572,                0.50301,                 1.6306,                 0.6503,                0.89697,              0.0002278,              0.0002278,              0.0002278
